id,date,day,month,year,weekday,is_weekend,predicted_demand
7290019274483,6/29/2025,29,6,2025,7,0,1.762620087
7290019274490,6/29/2025,29,6,2025,7,0,1.751822923
7290019611325,6/29/2025,29,6,2025,7,0,1.743075963
7290103702489,6/29/2025,29,6,2025,7,0,4.188563173
7290103703370,6/29/2025,29,6,2025,7,0,4.206436629
7290103704155,6/29/2025,29,6,2025,7,0,4.177872247
7290103704179,6/29/2025,29,6,2025,7,0,4.207925141
7290103704919,6/29/2025,29,6,2025,7,0,4.177466375
7290107280099,6/29/2025,29,6,2025,7,0,1.225006438
7290108351699,6/29/2025,29,6,2025,7,0,1.971162957
7290108352702,6/29/2025,29,6,2025,7,0,1.208968874
7290108356298,6/29/2025,29,6,2025,7,0,1.943632344
7290108356700,6/29/2025,29,6,2025,7,0,1.218133708
7290108356717,6/29/2025,29,6,2025,7,0,1.929106928
7290108356724,6/29/2025,29,6,2025,7,0,1.932543946
7290108357240,6/29/2025,29,6,2025,7,0,1.764013249
7290108357288,6/29/2025,29,6,2025,7,0,4.191832048
7290108357844,6/29/2025,29,6,2025,7,0,1.957950439
7290108359077,6/29/2025,29,6,2025,7,0,1.209898348
7290108359176,6/29/2025,29,6,2025,7,0,1.215154432
7290108359190,6/29/2025,29,6,2025,7,0,1.213051479
8001090184375,6/29/2025,29,6,2025,7,0,1.420332929
8001090184412,6/29/2025,29,6,2025,7,0,4.154420216
8001841625362,6/29/2025,29,6,2025,7,0,1.771917084
8001841893990,6/29/2025,29,6,2025,7,0,1.215033416
8006540429327,6/29/2025,29,6,2025,7,0,4.154178471
8700216163811,6/29/2025,29,6,2025,7,0,4.144957442
8700216236034,6/29/2025,29,6,2025,7,0,1.440499183
8700216236751,6/29/2025,29,6,2025,7,0,1.757914572
4084500088917,6/30/2025,30,6,2025,1,0,4.20054304
4084500853836,6/30/2025,30,6,2025,1,0,4.191109067
7290000286921,6/30/2025,30,6,2025,1,0,1.322451418
7290000288024,6/30/2025,30,6,2025,1,0,4.229932218
7290000288307,6/30/2025,30,6,2025,1,0,1.215814532
7290000288659,6/30/2025,30,6,2025,1,0,1.213785889
7290000292915,6/30/2025,30,6,2025,1,0,1.950489869
7290000294780,6/30/2025,30,6,2025,1,0,4.179548872
7290000295367,6/30/2025,30,6,2025,1,0,1.766867751
7290000295541,6/30/2025,30,6,2025,1,0,1.21851256
7290001246610,6/30/2025,30,6,2025,1,0,1.773430595
7290005424700,6/30/2025,30,6,2025,1,0,1.977670353
7290005425110,6/30/2025,30,6,2025,1,0,1.904039041
7290005425196,6/30/2025,30,6,2025,1,0,1.761065152
7290012116025,6/30/2025,30,6,2025,1,0,1.96644374
7290012117534,6/30/2025,30,6,2025,1,0,1.758821314
7290013268204,6/30/2025,30,6,2025,1,0,1.229388382
7290013268891,6/30/2025,30,6,2025,1,0,1.776061657
7290013269003,6/30/2025,30,6,2025,1,0,1.744043247
7290014397453,6/30/2025,30,6,2025,1,0,1.771358185
7290019274483,6/30/2025,30,6,2025,1,0,1.762620087
7290019274490,6/30/2025,30,6,2025,1,0,1.751822923
7290019611325,6/30/2025,30,6,2025,1,0,1.743075963
7290103702489,6/30/2025,30,6,2025,1,0,4.188563173
7290103703370,6/30/2025,30,6,2025,1,0,4.206436629
7290103704155,6/30/2025,30,6,2025,1,0,4.177872247
7290103704179,6/30/2025,30,6,2025,1,0,4.207925141
7290103704919,6/30/2025,30,6,2025,1,0,4.177466375
7290107280099,6/30/2025,30,6,2025,1,0,1.225006438
7290108351699,6/30/2025,30,6,2025,1,0,1.971162957
7290108352702,6/30/2025,30,6,2025,1,0,1.208968874
7290108356298,6/30/2025,30,6,2025,1,0,1.943632344
7290108356700,6/30/2025,30,6,2025,1,0,1.218133708
7290108356717,6/30/2025,30,6,2025,1,0,1.929106928
7290108356724,6/30/2025,30,6,2025,1,0,1.932543946
7290108357240,6/30/2025,30,6,2025,1,0,1.764013249
7290108357288,6/30/2025,30,6,2025,1,0,4.191832048
7290108357844,6/30/2025,30,6,2025,1,0,1.957950439
7290108359077,6/30/2025,30,6,2025,1,0,1.209898348
7290108359176,6/30/2025,30,6,2025,1,0,1.215154432
7290108359190,6/30/2025,30,6,2025,1,0,1.213051479
8001090184375,6/30/2025,30,6,2025,1,0,1.420332929
8001090184412,6/30/2025,30,6,2025,1,0,4.154420216
8001841625362,6/30/2025,30,6,2025,1,0,1.771917084
8001841893990,6/30/2025,30,6,2025,1,0,1.215033416
8006540429327,6/30/2025,30,6,2025,1,0,4.154178471
8700216163811,6/30/2025,30,6,2025,1,0,4.144957442
8700216236034,6/30/2025,30,6,2025,1,0,1.440499183
8700216236751,6/30/2025,30,6,2025,1,0,1.757914572
4084500088917,7/1/2025,1,7,2025,2,0,4.20054304
4084500853836,7/1/2025,1,7,2025,2,0,4.191109067
7290000286921,7/1/2025,1,7,2025,2,0,1.322451418
7290000288024,7/1/2025,1,7,2025,2,0,4.229932218
7290000288307,7/1/2025,1,7,2025,2,0,1.215814532
7290000288659,7/1/2025,1,7,2025,2,0,1.213785889
7290000292915,7/1/2025,1,7,2025,2,0,1.950489869
7290000294780,7/1/2025,1,7,2025,2,0,4.179548872
7290000295367,7/1/2025,1,7,2025,2,0,1.766867751
7290000295541,7/1/2025,1,7,2025,2,0,1.21851256
7290001246610,7/1/2025,1,7,2025,2,0,1.773430595
7290005424700,7/1/2025,1,7,2025,2,0,1.977670353
7290005425110,7/1/2025,1,7,2025,2,0,1.904039041
7290005425196,7/1/2025,1,7,2025,2,0,1.761065152
7290012116025,7/1/2025,1,7,2025,2,0,1.96644374
7290012117534,7/1/2025,1,7,2025,2,0,1.758821314
7290013268204,7/1/2025,1,7,2025,2,0,1.229388382
7290013268891,7/1/2025,1,7,2025,2,0,1.776061657
7290013269003,7/1/2025,1,7,2025,2,0,1.744043247
7290014397453,7/1/2025,1,7,2025,2,0,1.771358185
7290019274483,7/1/2025,1,7,2025,2,0,1.762620087
7290019274490,7/1/2025,1,7,2025,2,0,1.751822923
7290019611325,7/1/2025,1,7,2025,2,0,1.743075963
7290103702489,7/1/2025,1,7,2025,2,0,4.188563173
7290103703370,7/1/2025,1,7,2025,2,0,4.206436629
7290103704155,7/1/2025,1,7,2025,2,0,4.177872247
7290103704179,7/1/2025,1,7,2025,2,0,4.207925141
7290103704919,7/1/2025,1,7,2025,2,0,4.177466375
7290107280099,7/1/2025,1,7,2025,2,0,1.225006438
7290108351699,7/1/2025,1,7,2025,2,0,1.971162957
7290108352702,7/1/2025,1,7,2025,2,0,1.208968874
7290108356298,7/1/2025,1,7,2025,2,0,1.943632344
7290108356700,7/1/2025,1,7,2025,2,0,1.218133708
7290108356717,7/1/2025,1,7,2025,2,0,1.929106928
7290108356724,7/1/2025,1,7,2025,2,0,1.932543946
7290108357240,7/1/2025,1,7,2025,2,0,1.764013249
7290108357288,7/1/2025,1,7,2025,2,0,4.191832048
7290108357844,7/1/2025,1,7,2025,2,0,1.957950439
7290108359077,7/1/2025,1,7,2025,2,0,1.209898348
7290108359176,7/1/2025,1,7,2025,2,0,1.215154432
7290108359190,7/1/2025,1,7,2025,2,0,1.213051479
8001090184375,7/1/2025,1,7,2025,2,0,1.420332929
8001090184412,7/1/2025,1,7,2025,2,0,4.154420216
8001841625362,7/1/2025,1,7,2025,2,0,1.771917084
8001841893990,7/1/2025,1,7,2025,2,0,1.215033416
8006540429327,7/1/2025,1,7,2025,2,0,4.154178471
8700216163811,7/1/2025,1,7,2025,2,0,4.144957442
8700216236034,7/1/2025,1,7,2025,2,0,1.440499183
8700216236751,7/1/2025,1,7,2025,2,0,1.757914572
4084500088917,7/2/2025,2,7,2025,3,0,4.20054304
4084500853836,7/2/2025,2,7,2025,3,0,4.191109067
7290000286921,7/2/2025,2,7,2025,3,0,1.322451418
7290000288024,7/2/2025,2,7,2025,3,0,4.229932218
7290000288307,7/2/2025,2,7,2025,3,0,1.215814532
7290000288659,7/2/2025,2,7,2025,3,0,1.213785889
7290000292915,7/2/2025,2,7,2025,3,0,1.950489869
7290000294780,7/2/2025,2,7,2025,3,0,4.179548872
7290000295367,7/2/2025,2,7,2025,3,0,1.766867751
7290000295541,7/2/2025,2,7,2025,3,0,1.21851256
7290001246610,7/2/2025,2,7,2025,3,0,1.773430595
7290005424700,7/2/2025,2,7,2025,3,0,1.977670353
7290005425110,7/2/2025,2,7,2025,3,0,1.904039041
7290005425196,7/2/2025,2,7,2025,3,0,1.761065152
7290012116025,7/2/2025,2,7,2025,3,0,1.96644374
7290012117534,7/2/2025,2,7,2025,3,0,1.758821314
7290013268204,7/2/2025,2,7,2025,3,0,1.229388382
7290013268891,7/2/2025,2,7,2025,3,0,1.776061657
7290013269003,7/2/2025,2,7,2025,3,0,1.744043247
7290014397453,7/2/2025,2,7,2025,3,0,1.771358185
7290019274483,7/2/2025,2,7,2025,3,0,1.762620087
7290019274490,7/2/2025,2,7,2025,3,0,1.751822923
7290019611325,7/2/2025,2,7,2025,3,0,1.743075963
7290103702489,7/2/2025,2,7,2025,3,0,4.188563173
7290103703370,7/2/2025,2,7,2025,3,0,4.206436629
7290103704155,7/2/2025,2,7,2025,3,0,4.177872247
7290103704179,7/2/2025,2,7,2025,3,0,4.207925141
7290103704919,7/2/2025,2,7,2025,3,0,4.177466375
7290107280099,7/2/2025,2,7,2025,3,0,1.225006438
7290108351699,7/2/2025,2,7,2025,3,0,1.971162957
7290108352702,7/2/2025,2,7,2025,3,0,1.208968874
7290108356298,7/2/2025,2,7,2025,3,0,1.943632344
7290108356700,7/2/2025,2,7,2025,3,0,1.218133708
7290108356717,7/2/2025,2,7,2025,3,0,1.929106928
7290108356724,7/2/2025,2,7,2025,3,0,1.932543946
7290108357240,7/2/2025,2,7,2025,3,0,1.764013249
7290108357288,7/2/2025,2,7,2025,3,0,4.191832048
7290108357844,7/2/2025,2,7,2025,3,0,1.957950439
7290108359077,7/2/2025,2,7,2025,3,0,1.209898348
7290108359176,7/2/2025,2,7,2025,3,0,1.215154432
7290108359190,7/2/2025,2,7,2025,3,0,1.213051479
8001090184375,7/2/2025,2,7,2025,3,0,1.420332929
8001090184412,7/2/2025,2,7,2025,3,0,4.154420216
8001841625362,7/2/2025,2,7,2025,3,0,1.771917084
8001841893990,7/2/2025,2,7,2025,3,0,1.215033416
8006540429327,7/2/2025,2,7,2025,3,0,4.154178471
8700216163811,7/2/2025,2,7,2025,3,0,4.144957442
8700216236034,7/2/2025,2,7,2025,3,0,1.440499183
8700216236751,7/2/2025,2,7,2025,3,0,1.757914572
4084500088917,7/3/2025,3,7,2025,4,0,4.20054304
4084500853836,7/3/2025,3,7,2025,4,0,4.191109067
7290000286921,7/3/2025,3,7,2025,4,0,1.322451418
7290000288024,7/3/2025,3,7,2025,4,0,4.229932218
7290000288307,7/3/2025,3,7,2025,4,0,1.215814532
7290000288659,7/3/2025,3,7,2025,4,0,1.213785889
7290000292915,7/3/2025,3,7,2025,4,0,1.950489869
7290000294780,7/3/2025,3,7,2025,4,0,4.179548872
7290000295367,7/3/2025,3,7,2025,4,0,1.766867751
7290000295541,7/3/2025,3,7,2025,4,0,1.21851256
7290001246610,7/3/2025,3,7,2025,4,0,1.773430595
7290005424700,7/3/2025,3,7,2025,4,0,1.977670353
7290005425110,7/3/2025,3,7,2025,4,0,1.904039041
7290005425196,7/3/2025,3,7,2025,4,0,1.761065152
7290012116025,7/3/2025,3,7,2025,4,0,1.96644374
7290012117534,7/3/2025,3,7,2025,4,0,1.758821314
7290013268204,7/3/2025,3,7,2025,4,0,1.229388382
7290013268891,7/3/2025,3,7,2025,4,0,1.776061657
7290013269003,7/3/2025,3,7,2025,4,0,1.744043247
7290014397453,7/3/2025,3,7,2025,4,0,1.771358185
7290019274483,7/3/2025,3,7,2025,4,0,1.762620087
7290019274490,7/3/2025,3,7,2025,4,0,1.751822923
7290019611325,7/3/2025,3,7,2025,4,0,1.743075963
7290103702489,7/3/2025,3,7,2025,4,0,4.188563173
7290103703370,7/3/2025,3,7,2025,4,0,4.206436629
7290103704155,7/3/2025,3,7,2025,4,0,4.177872247
7290103704179,7/3/2025,3,7,2025,4,0,4.207925141
7290103704919,7/3/2025,3,7,2025,4,0,4.177466375
7290107280099,7/3/2025,3,7,2025,4,0,1.225006438
7290108351699,7/3/2025,3,7,2025,4,0,1.971162957
7290108352702,7/3/2025,3,7,2025,4,0,1.208968874
7290108356298,7/3/2025,3,7,2025,4,0,1.943632344
7290108356700,7/3/2025,3,7,2025,4,0,1.218133708
7290108356717,7/3/2025,3,7,2025,4,0,1.929106928
7290108356724,7/3/2025,3,7,2025,4,0,1.932543946
7290108357240,7/3/2025,3,7,2025,4,0,1.764013249
7290108357288,7/3/2025,3,7,2025,4,0,4.191832048
7290108357844,7/3/2025,3,7,2025,4,0,1.957950439
7290108359077,7/3/2025,3,7,2025,4,0,1.209898348
7290108359176,7/3/2025,3,7,2025,4,0,1.215154432
7290108359190,7/3/2025,3,7,2025,4,0,1.213051479
8001090184375,7/3/2025,3,7,2025,4,0,1.420332929
8001090184412,7/3/2025,3,7,2025,4,0,4.154420216
8001841625362,7/3/2025,3,7,2025,4,0,1.771917084
8001841893990,7/3/2025,3,7,2025,4,0,1.215033416
8006540429327,7/3/2025,3,7,2025,4,0,4.154178471
8700216163811,7/3/2025,3,7,2025,4,0,4.144957442
8700216236034,7/3/2025,3,7,2025,4,0,1.440499183
8700216236751,7/3/2025,3,7,2025,4,0,1.757914572
4084500088917,7/4/2025,4,7,2025,5,1,8.297904957
4084500853836,7/4/2025,4,7,2025,5,1,8.083395602
7290000286921,7/4/2025,4,7,2025,5,1,3.517962843
7290000288024,7/4/2025,4,7,2025,5,1,8.286792103
7290000288307,7/4/2025,4,7,2025,5,1,3.392318214
7290000288659,7/4/2025,4,7,2025,5,1,3.393269393
7290000292915,7/4/2025,4,7,2025,5,1,4.131132604
7290000294780,7/4/2025,4,7,2025,5,1,8.251312035
7290000295367,7/4/2025,4,7,2025,5,1,3.557492614
7290000295541,7/4/2025,4,7,2025,5,1,3.388390877
7290001246610,7/4/2025,4,7,2025,5,1,3.639296911
7290005424700,7/4/2025,4,7,2025,5,1,4.223479618
7290005425110,7/4/2025,4,7,2025,5,1,4.263287996
7290005425196,7/4/2025,4,7,2025,5,1,3.600298064
7290012116025,7/4/2025,4,7,2025,5,1,4.283603418
7290012117534,7/4/2025,4,7,2025,5,1,3.594356183
7290013268204,7/4/2025,4,7,2025,5,1,3.368168202
7290013268891,7/4/2025,4,7,2025,5,1,3.579959515
7290013269003,7/4/2025,4,7,2025,5,1,3.57992043
7290014397453,7/4/2025,4,7,2025,5,1,3.611626263
7290019274483,7/4/2025,4,7,2025,5,1,3.608574899
7290019274490,7/4/2025,4,7,2025,5,1,3.662569046
7290019611325,7/4/2025,4,7,2025,5,1,3.557595311
7290103702489,7/4/2025,4,7,2025,5,1,8.29203175
7290103703370,7/4/2025,4,7,2025,5,1,8.11377307
7290103704155,7/4/2025,4,7,2025,5,1,8.328340638
7290103704179,7/4/2025,4,7,2025,5,1,8.300615908
7290103704919,7/4/2025,4,7,2025,5,1,8.124406941
7290107280099,7/4/2025,4,7,2025,5,1,3.363973237
7290108351699,7/4/2025,4,7,2025,5,1,4.094644387
7290108352702,7/4/2025,4,7,2025,5,1,3.374998951
7290108356298,7/4/2025,4,7,2025,5,1,4.238532916
7290108356700,7/4/2025,4,7,2025,5,1,3.396284464
7290108356717,7/4/2025,4,7,2025,5,1,3.771856031
7290108356724,7/4/2025,4,7,2025,5,1,4.239364073
7290108357240,7/4/2025,4,7,2025,5,1,3.53005234
7290108357288,7/4/2025,4,7,2025,5,1,8.201760133
7290108357844,7/4/2025,4,7,2025,5,1,4.16118072
7290108359077,7/4/2025,4,7,2025,5,1,3.36779972
7290108359176,7/4/2025,4,7,2025,5,1,3.381676058
7290108359190,7/4/2025,4,7,2025,5,1,3.3850441
8001090184375,7/4/2025,4,7,2025,5,1,3.444430308
8001090184412,7/4/2025,4,7,2025,5,1,8.194144931
8001841625362,7/4/2025,4,7,2025,5,1,3.647777474
8001841893990,7/4/2025,4,7,2025,5,1,3.35965189
8006540429327,7/4/2025,4,7,2025,5,1,8.255151078
8700216163811,7/4/2025,4,7,2025,5,1,8.332234927
8700216236034,7/4/2025,4,7,2025,5,1,3.501301155
8700216236751,7/4/2025,4,7,2025,5,1,3.646940129
4084500088917,7/5/2025,5,7,2025,6,1,8.297904957
4084500853836,7/5/2025,5,7,2025,6,1,8.083395602
7290000286921,7/5/2025,5,7,2025,6,1,3.517962843
7290000288024,7/5/2025,5,7,2025,6,1,8.286792103
7290000288307,7/5/2025,5,7,2025,6,1,3.392318214
7290000288659,7/5/2025,5,7,2025,6,1,3.393269393
7290000292915,7/5/2025,5,7,2025,6,1,4.131132604
7290000294780,7/5/2025,5,7,2025,6,1,8.251312035
7290000295367,7/5/2025,5,7,2025,6,1,3.557492614
7290000295541,7/5/2025,5,7,2025,6,1,3.388390877
7290001246610,7/5/2025,5,7,2025,6,1,3.639296911
7290005424700,7/5/2025,5,7,2025,6,1,4.223479618
7290005425110,7/5/2025,5,7,2025,6,1,4.263287996
7290005425196,7/5/2025,5,7,2025,6,1,3.600298064
7290012116025,7/5/2025,5,7,2025,6,1,4.283603418
7290012117534,7/5/2025,5,7,2025,6,1,3.594356183
7290013268204,7/5/2025,5,7,2025,6,1,3.368168202
7290013268891,7/5/2025,5,7,2025,6,1,3.579959515
7290013269003,7/5/2025,5,7,2025,6,1,3.57992043
7290014397453,7/5/2025,5,7,2025,6,1,3.611626263
7290019274483,7/5/2025,5,7,2025,6,1,3.608574899
7290019274490,7/5/2025,5,7,2025,6,1,3.662569046
7290019611325,7/5/2025,5,7,2025,6,1,3.557595311
7290103702489,7/5/2025,5,7,2025,6,1,8.29203175
7290103703370,7/5/2025,5,7,2025,6,1,8.11377307
7290103704155,7/5/2025,5,7,2025,6,1,8.328340638
7290103704179,7/5/2025,5,7,2025,6,1,8.300615908
7290103704919,7/5/2025,5,7,2025,6,1,8.124406941
7290107280099,7/5/2025,5,7,2025,6,1,3.363973237
7290108351699,7/5/2025,5,7,2025,6,1,4.094644387
7290108352702,7/5/2025,5,7,2025,6,1,3.374998951
7290108356298,7/5/2025,5,7,2025,6,1,4.238532916
7290108356700,7/5/2025,5,7,2025,6,1,3.396284464
7290108356717,7/5/2025,5,7,2025,6,1,3.771856031
7290108356724,7/5/2025,5,7,2025,6,1,4.239364073
7290108357240,7/5/2025,5,7,2025,6,1,3.53005234
7290108357288,7/5/2025,5,7,2025,6,1,8.201760133
7290108357844,7/5/2025,5,7,2025,6,1,4.16118072
7290108359077,7/5/2025,5,7,2025,6,1,3.36779972
7290108359176,7/5/2025,5,7,2025,6,1,3.381676058
7290108359190,7/5/2025,5,7,2025,6,1,3.3850441
8001090184375,7/5/2025,5,7,2025,6,1,3.444430308
8001090184412,7/5/2025,5,7,2025,6,1,8.194144931
8001841625362,7/5/2025,5,7,2025,6,1,3.647777474
8001841893990,7/5/2025,5,7,2025,6,1,3.35965189
8006540429327,7/5/2025,5,7,2025,6,1,8.255151078
8700216163811,7/5/2025,5,7,2025,6,1,8.332234927
8700216236034,7/5/2025,5,7,2025,6,1,3.501301155
8700216236751,7/5/2025,5,7,2025,6,1,3.646940129
4084500088917,7/6/2025,6,7,2025,7,0,4.20054304
4084500853836,7/6/2025,6,7,2025,7,0,4.191109067
7290000286921,7/6/2025,6,7,2025,7,0,1.322451418
7290000288024,7/6/2025,6,7,2025,7,0,4.229932218
7290000288307,7/6/2025,6,7,2025,7,0,1.215814532
7290000288659,7/6/2025,6,7,2025,7,0,1.213785889
7290000292915,7/6/2025,6,7,2025,7,0,1.950489869
7290000294780,7/6/2025,6,7,2025,7,0,4.179548872
7290000295367,7/6/2025,6,7,2025,7,0,1.766867751
7290000295541,7/6/2025,6,7,2025,7,0,1.21851256
7290001246610,7/6/2025,6,7,2025,7,0,1.773430595
7290005424700,7/6/2025,6,7,2025,7,0,1.977670353
7290005425110,7/6/2025,6,7,2025,7,0,1.904039041
7290005425196,7/6/2025,6,7,2025,7,0,1.761065152
7290012116025,7/6/2025,6,7,2025,7,0,1.96644374
7290012117534,7/6/2025,6,7,2025,7,0,1.758821314
7290013268204,7/6/2025,6,7,2025,7,0,1.229388382
7290013268891,7/6/2025,6,7,2025,7,0,1.776061657
7290013269003,7/6/2025,6,7,2025,7,0,1.744043247
7290014397453,7/6/2025,6,7,2025,7,0,1.771358185
7290019274483,7/6/2025,6,7,2025,7,0,1.762620087
7290019274490,7/6/2025,6,7,2025,7,0,1.751822923
7290019611325,7/6/2025,6,7,2025,7,0,1.743075963
7290103702489,7/6/2025,6,7,2025,7,0,4.188563173
7290103703370,7/6/2025,6,7,2025,7,0,4.206436629
7290103704155,7/6/2025,6,7,2025,7,0,4.177872247
7290103704179,7/6/2025,6,7,2025,7,0,4.207925141
7290103704919,7/6/2025,6,7,2025,7,0,4.177466375
7290107280099,7/6/2025,6,7,2025,7,0,1.225006438
7290108351699,7/6/2025,6,7,2025,7,0,1.971162957
7290108352702,7/6/2025,6,7,2025,7,0,1.208968874
7290108356298,7/6/2025,6,7,2025,7,0,1.943632344
7290108356700,7/6/2025,6,7,2025,7,0,1.218133708
7290108356717,7/6/2025,6,7,2025,7,0,1.929106928
7290108356724,7/6/2025,6,7,2025,7,0,1.932543946
7290108357240,7/6/2025,6,7,2025,7,0,1.764013249
7290108357288,7/6/2025,6,7,2025,7,0,4.191832048
7290108357844,7/6/2025,6,7,2025,7,0,1.957950439
7290108359077,7/6/2025,6,7,2025,7,0,1.209898348
7290108359176,7/6/2025,6,7,2025,7,0,1.215154432
7290108359190,7/6/2025,6,7,2025,7,0,1.213051479
8001090184375,7/6/2025,6,7,2025,7,0,1.420332929
8001090184412,7/6/2025,6,7,2025,7,0,4.154420216
8001841625362,7/6/2025,6,7,2025,7,0,1.771917084
8001841893990,7/6/2025,6,7,2025,7,0,1.215033416
8006540429327,7/6/2025,6,7,2025,7,0,4.154178471
8700216163811,7/6/2025,6,7,2025,7,0,4.144957442
8700216236034,7/6/2025,6,7,2025,7,0,1.440499183
8700216236751,7/6/2025,6,7,2025,7,0,1.757914572
4084500088917,7/7/2025,7,7,2025,1,0,4.20054304
4084500853836,7/7/2025,7,7,2025,1,0,4.191109067
7290000286921,7/7/2025,7,7,2025,1,0,1.322451418
7290000288024,7/7/2025,7,7,2025,1,0,4.229932218
7290000288307,7/7/2025,7,7,2025,1,0,1.215814532
7290000288659,7/7/2025,7,7,2025,1,0,1.213785889
7290000292915,7/7/2025,7,7,2025,1,0,1.950489869
7290000294780,7/7/2025,7,7,2025,1,0,4.179548872
7290000295367,7/7/2025,7,7,2025,1,0,1.766867751
7290000295541,7/7/2025,7,7,2025,1,0,1.21851256
7290001246610,7/7/2025,7,7,2025,1,0,1.773430595
7290005424700,7/7/2025,7,7,2025,1,0,1.977670353
7290005425110,7/7/2025,7,7,2025,1,0,1.904039041
7290005425196,7/7/2025,7,7,2025,1,0,1.761065152
7290012116025,7/7/2025,7,7,2025,1,0,1.96644374
7290012117534,7/7/2025,7,7,2025,1,0,1.758821314
7290013268204,7/7/2025,7,7,2025,1,0,1.229388382
7290013268891,7/7/2025,7,7,2025,1,0,1.776061657
7290013269003,7/7/2025,7,7,2025,1,0,1.744043247
7290014397453,7/7/2025,7,7,2025,1,0,1.771358185
7290019274483,7/7/2025,7,7,2025,1,0,1.762620087
7290019274490,7/7/2025,7,7,2025,1,0,1.751822923
7290019611325,7/7/2025,7,7,2025,1,0,1.743075963
7290103702489,7/7/2025,7,7,2025,1,0,4.188563173
7290103703370,7/7/2025,7,7,2025,1,0,4.206436629
7290103704155,7/7/2025,7,7,2025,1,0,4.177872247
7290103704179,7/7/2025,7,7,2025,1,0,4.207925141
7290103704919,7/7/2025,7,7,2025,1,0,4.177466375
7290107280099,7/7/2025,7,7,2025,1,0,1.225006438
7290108351699,7/7/2025,7,7,2025,1,0,1.971162957
7290108352702,7/7/2025,7,7,2025,1,0,1.208968874
7290108356298,7/7/2025,7,7,2025,1,0,1.943632344
7290108356700,7/7/2025,7,7,2025,1,0,1.218133708
7290108356717,7/7/2025,7,7,2025,1,0,1.929106928
7290108356724,7/7/2025,7,7,2025,1,0,1.932543946
7290108357240,7/7/2025,7,7,2025,1,0,1.764013249
7290108357288,7/7/2025,7,7,2025,1,0,4.191832048
7290108357844,7/7/2025,7,7,2025,1,0,1.957950439
7290108359077,7/7/2025,7,7,2025,1,0,1.209898348
7290108359176,7/7/2025,7,7,2025,1,0,1.215154432
7290108359190,7/7/2025,7,7,2025,1,0,1.213051479
8001090184375,7/7/2025,7,7,2025,1,0,1.420332929
8001090184412,7/7/2025,7,7,2025,1,0,4.154420216
8001841625362,7/7/2025,7,7,2025,1,0,1.771917084
8001841893990,7/7/2025,7,7,2025,1,0,1.215033416
8006540429327,7/7/2025,7,7,2025,1,0,4.154178471
8700216163811,7/7/2025,7,7,2025,1,0,4.144957442
8700216236034,7/7/2025,7,7,2025,1,0,1.440499183
8700216236751,7/7/2025,7,7,2025,1,0,1.757914572
4084500088917,7/8/2025,8,7,2025,2,0,4.20054304
4084500853836,7/8/2025,8,7,2025,2,0,4.191109067
7290000286921,7/8/2025,8,7,2025,2,0,1.322451418
7290000288024,7/8/2025,8,7,2025,2,0,4.229932218
7290000288307,7/8/2025,8,7,2025,2,0,1.215814532
7290000288659,7/8/2025,8,7,2025,2,0,1.213785889
7290000292915,7/8/2025,8,7,2025,2,0,1.950489869
7290000294780,7/8/2025,8,7,2025,2,0,4.179548872
7290000295367,7/8/2025,8,7,2025,2,0,1.766867751
7290000295541,7/8/2025,8,7,2025,2,0,1.21851256
7290001246610,7/8/2025,8,7,2025,2,0,1.773430595
7290005424700,7/8/2025,8,7,2025,2,0,1.977670353
7290005425110,7/8/2025,8,7,2025,2,0,1.904039041
7290005425196,7/8/2025,8,7,2025,2,0,1.761065152
7290012116025,7/8/2025,8,7,2025,2,0,1.96644374
7290012117534,7/8/2025,8,7,2025,2,0,1.758821314
7290013268204,7/8/2025,8,7,2025,2,0,1.229388382
7290013268891,7/8/2025,8,7,2025,2,0,1.776061657
7290013269003,7/8/2025,8,7,2025,2,0,1.744043247
7290014397453,7/8/2025,8,7,2025,2,0,1.771358185
7290019274483,7/8/2025,8,7,2025,2,0,1.762620087
7290019274490,7/8/2025,8,7,2025,2,0,1.751822923
7290019611325,7/8/2025,8,7,2025,2,0,1.743075963
7290103702489,7/8/2025,8,7,2025,2,0,4.188563173
7290103703370,7/8/2025,8,7,2025,2,0,4.206436629
7290103704155,7/8/2025,8,7,2025,2,0,4.177872247
7290103704179,7/8/2025,8,7,2025,2,0,4.207925141
7290103704919,7/8/2025,8,7,2025,2,0,4.177466375
7290107280099,7/8/2025,8,7,2025,2,0,1.225006438
7290108351699,7/8/2025,8,7,2025,2,0,1.971162957
7290108352702,7/8/2025,8,7,2025,2,0,1.208968874
7290108356298,7/8/2025,8,7,2025,2,0,1.943632344
7290108356700,7/8/2025,8,7,2025,2,0,1.218133708
7290108356717,7/8/2025,8,7,2025,2,0,1.929106928
7290108356724,7/8/2025,8,7,2025,2,0,1.932543946
7290108357240,7/8/2025,8,7,2025,2,0,1.764013249
7290108357288,7/8/2025,8,7,2025,2,0,4.191832048
7290108357844,7/8/2025,8,7,2025,2,0,1.957950439
7290108359077,7/8/2025,8,7,2025,2,0,1.209898348
7290108359176,7/8/2025,8,7,2025,2,0,1.215154432
7290108359190,7/8/2025,8,7,2025,2,0,1.213051479
8001090184375,7/8/2025,8,7,2025,2,0,1.420332929
8001090184412,7/8/2025,8,7,2025,2,0,4.154420216
8001841625362,7/8/2025,8,7,2025,2,0,1.771917084
